t,step,pos_left_hip_yaw,pos_left_hip_roll,pos_left_hip_pitch,pos_left_knee,pos_left_ankle,pos_neck_pitch,pos_head_pitch,pos_head_yaw,pos_head_roll,pos_right_hip_yaw,pos_right_hip_roll,pos_right_hip_pitch,pos_right_knee,pos_right_ankle,vel_left_hip_yaw,vel_left_hip_roll,vel_left_hip_pitch,vel_left_knee,vel_left_ankle,vel_neck_pitch,vel_head_pitch,vel_head_yaw,vel_head_roll,vel_right_hip_yaw,vel_right_hip_roll,vel_right_hip_pitch,vel_right_knee,vel_right_ankle,action_left_hip_yaw,action_left_hip_roll,action_left_hip_pitch,action_left_knee,action_left_ankle,action_neck_pitch,action_head_pitch,action_head_yaw,action_head_roll,action_right_hip_yaw,action_right_hip_roll,action_right_hip_pitch,action_right_knee,action_right_ankle,target_left_hip_yaw,target_left_hip_roll,target_left_hip_pitch,target_left_knee,target_left_ankle,target_neck_pitch,target_head_pitch,target_head_yaw,target_head_roll,target_right_hip_yaw,target_right_hip_roll,target_right_hip_pitch,target_right_knee,target_right_ankle,contact_l,contact_r,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,proj_grav_x,proj_grav_y,proj_grav_z,phase_cos,phase_sin
3.2680,153,0.33900976,0.45405832,0.45866024,-1.9803692,0.874369,0.5236,0.5236,0.0,0.0,-0.19788352,0.13345633,0.3344078,1.440408,-0.76545644,0.0,0.04796165,-2.0143893,0.6714631,0.8872905,0.0,0.0,0.0,0.0,0.8393288,0.35971236,-0.4796165,-2.1103125,0.4796165,0.6345337,1.1812233,-1.4265409,-0.047306895,0.3568983,-0.09326475,0.2479446,-0.45467594,-0.038778592,-0.50786245,0.73535764,-0.40592745,-1.0625218,0.25236127,0.23873074,0.36393595,0.50685805,-1.6026411,0.85607636,0.5236,0.5236,0.0,0.0,-0.16608767,0.15897876,0.8508167,1.3508222,-0.71420735,1.0,1.0,-0.9359328113819593,-0.14617132485452508,0.657770961845363,-1.56,-2.45,5.65,0.24555938,0.38565418,-0.8893658,-0.5,-0.8660254
3.2880,154,0.32980588,0.45252433,0.4693981,-1.9803692,0.8697671,0.5236,0.5236,0.0,0.0,-0.1994175,0.15339808,0.34514567,1.4143302,-0.75318456,-0.07194247,-0.07194247,-1.103118,0.7434055,0.3836932,0.0,0.0,0.0,0.0,0.4796165,0.6235014,-0.23980825,-2.0143893,0.5035973,0.79830605,1.066374,-1.3444412,0.21807824,0.28120565,-0.23178454,0.38609606,-0.30770537,0.07426976,-0.7274801,0.89655393,-0.3734909,-1.1439648,0.08580801,0.22182907,0.33327898,0.52775073,-1.5674969,0.8395264,0.5236,0.5236,0.0,0.0,-0.17388062,0.18088266,0.845741,1.3360969,-0.7154636,1.0,1.0,-0.5705044992456465,-0.1810779098944117,0.4068798818711781,-4.75,-4.84,8.95,0.4230116,0.43102655,-0.79704285,-0.28680325,-0.9579895
3.3081,155,0.29759228,0.4371845,0.4878059,-1.9911071,0.8605632,0.5236,0.5236,0.0,0.0,-0.19328158,0.17180584,0.34667966,1.3913206,-0.72864085,-0.28776988,-0.16786577,-0.28776988,0.45563567,0.023980824,0.0,0.0,0.0,0.0,0.21582742,0.7673864,0.0,-1.7985618,0.5995206,0.93290395,1.0689201,-1.2475885,0.42580062,0.15845072,-0.3611605,0.50711745,-0.13742703,0.16572598,-0.87088156,0.90791845,-0.4482751,-1.0597856,-0.14042996,0.22514786,0.3151394,0.5499716,-1.5256381,0.81732094,0.5236,0.5236,0.0,0.0,-0.19289653,0.19516145,0.83521706,1.3356795,-0.7388412,1.0,1.0,-0.2977968036215325,-0.31852258848896514,0.5105088062083414,-5.73,-3.11,6.76,0.6101181,0.33114612,-0.7197903,-0.05814483,-0.9983082
3.3281,156,0.26537868,0.41110685,0.5108156,-2.001845,0.8498254,0.5236,0.5236,0.0,0.0,-0.19481556,0.19328158,0.34974763,1.3698448,-0.7117671,-0.7194247,-0.35971236,0.3117507,0.21582742,-0.21582742,0.0,0.0,0.0,0.0,0.0959233,0.8393288,0.14388494,-1.5107919,0.7434055,0.77917093,0.97402054,-1.083709,0.47912034,0.0745165,-0.37164074,0.40280113,-0.12110525,0.19864315,-0.78393745,1.1113664,-0.3828557,-0.77853006,-0.13602903,0.21176581,0.2947657,0.57969207,-1.4951909,0.7956042,0.5236,0.5236,0.0,0.0,-0.19561167,0.22407351,0.8354447,1.3635547,-0.7524276,1.0,1.0,-0.11780972450961724,-0.27707101875409984,0.5475970528132209,-3.67,-3.73,6.38,0.44477105,0.45204252,-0.7731987,0.17364818,-0.9848077
3.3481,157,0.25157285,0.38196123,0.53382534,-2.0125828,0.8390875,0.5236,0.5236,0.0,0.0,-0.20555343,0.21168935,0.35588354,1.3667768,-0.71483505,-1.0551562,-0.7194247,0.7434055,-0.26378906,-0.33573154,0.0,0.0,0.0,0.0,0.0,0.93525213,0.21582742,-1.1510795,0.7673864,1.0653456,0.9943161,-1.0851656,0.75492585,0.08939066,-0.43635297,0.52176285,0.06811793,0.37098485,-0.98917156,1.3655791,-0.53042287,-0.2484321,-0.3457142,0.23235406,0.28457105,0.5973787,-1.4493419,0.7840616,0.5236,0.5236,0.0,0.0,-0.21776415,0.26684204,0.8208245,1.4332896,-0.78154796,1.0,1.0,0.39160825091622764,0.2748893571891069,0.8530296719122286,-5.57,-3.28,8.67,0.5150519,0.30329806,-0.80170554,0.39607978,-0.9182161
3.3680,158,0.24083498,0.35434955,0.56297094,-2.0202527,0.81914574,0.5236,0.5236,0.0,0.0,-0.21168935,0.23469906,0.36968938,1.3775147,-0.720971,-1.1270987,-1.103118,1.0311754,-0.43165484,-0.5035973,0.0,0.0,0.0,0.0,-0.11990412,0.9832138,0.21582742,-0.7194247,0.5275781,0.9468289,0.86612284,-0.9934814,0.6982772,-0.026124477,-0.3868437,0.29020932,0.06493622,0.32755622,-0.8249185,1.6189898,-0.54528004,0.25945693,-0.2484314,0.23285533,0.26563492,0.61715907,-1.4274975,0.7655845,0.5236,0.5236,0.0,0.0,-0.21463035,0.3178442,0.8105667,1.5259194,-0.7892919,1.0,1.0,0.6108652381980153,0.02181661564992912,0.5345070834232634,-4.07,-2.56,8.6,0.41307878,0.2598235,-0.87284464,0.5971586,-0.8021232
3.3880,159,0.24236897,0.3344078,0.58598065,-2.0263886,0.80227196,0.5236,0.5236,0.0,0.0,-0.22396119,0.26691267,0.3926991,1.4112623,-0.7363108,-0.7913672,-1.2470028,1.1270987,-0.45563567,-0.6235014,0.0,0.0,0.0,0.0,-0.3117507,1.0791371,0.407674,-0.0959233,0.07194247,1.105994,0.79296917,-0.8614025,0.6921845,0.02876059,-0.34584203,0.33575255,0.14589766,0.40644902,-0.8434942,1.8022838,-0.8585899,0.7182569,-0.30722326,0.2490726,0.24695787,0.64223516,-1.4150001,0.75998676,0.5236,0.5236,0.0,0.0,-0.21460764,0.36677492,0.77308106,1.6223195,-0.79981744,1.0,1.0,0.8083056098298739,0.001090830782496456,0.37742745074377376,-4.65,-1.65,7.35,0.52527285,0.18638714,-0.83027,0.76604444,-0.64278764
3.4080,160,0.24850489,0.30526218,0.6089904,-2.0141168,0.77772826,0.5236,0.5236,0.0,0.0,-0.22396119,0.30833015,0.42798063,1.4772235,-0.7577865,-0.3836932,-1.2709837,1.1750604,-0.33573154,-0.7913672,0.0,0.0,0.0,0.0,-0.35971236,1.2949644,0.7434055,0.7913672,-0.35971236,1.1392307,0.65739834,-0.70513964,0.6091116,0.06731846,-0.33498135,0.29559013,0.27867818,0.42924762,-0.92443436,1.9422847,-1.1449435,0.97721595,-0.3840524,0.26212662,0.22219458,0.6729071,-1.4158089,0.7604839,0.5236,0.5236,0.0,0.0,-0.22268803,0.41013342,0.7219543,1.714148,-0.8138157,1.0,1.0,0.8639379797371932,0.21380283336930536,0.1014472627721704,-3.94,-0.78,6.59,0.5105268,0.10106874,-0.8539013,0.89363265,-0.4487992
3.4278,161,0.25924274,0.28225246,0.62586415,-2.0079808,0.76238847,0.5236,0.5236,0.0,0.0,-0.22549517,0.34821364,0.48320395,1.5447186,-0.77772826,-0.04796165,-1.223022,1.1510795,-0.07194247,-0.91127133,0.0,0.0,0.0,0.0,-0.28776988,1.5827343,1.223022,1.7266194,-0.6714631,1.0563532,0.48597902,-0.40027288,0.5587301,0.06335165,-0.4856524,0.27526194,0.36613712,0.39125586,-1.0404202,1.83363,-1.4645523,1.2007942,-0.45383865,0.2616713,0.19019467,0.721797,-1.4213324,0.7603855,0.5236,0.5236,0.0,0.0,-0.23913483,0.42528307,0.6593174,1.7885683,-0.8291933,1.0,1.0,1.1660981064887113,0.17453292519943295,0.2901609881440573,-5.22,-2.56,7.48,0.55099475,0.27021965,-0.7895481,0.9730449,-0.23061587
3.4499,162,0.2715146,0.25310683,0.6565438,-1.9972429,0.75318456,0.5236,0.5236,0.0,0.0,-0.23469906,0.398835,0.5491651,1.6290876,-0.79460204,0.23980825,-1.2470028,1.103118,0.21582742,-0.8633097,0.0,0.0,0.0,0.0,-0.1918466,1.8944851,1.918466,2.7577949,-0.8872905,1.2338729,0.2262437,-0.20117334,0.8568875,0.15413663,-0.5940865,0.3737319,0.7258727,0.31242028,-1.2427769,1.8573679,-1.9222198,1.3702626,-0.83711004,0.2791501,0.14502117,0.77104086,-1.3948307,0.769405,0.5236,0.5236,0.0,0.0,-0.2692386,0.43674666,0.57596844,1.8501673,-0.876747,1.0,1.0,1.6471544815696484,0.4319689898685966,0.7603090554000299,-5.73,-0.78,5.8,0.6996066,0.0952344,-0.7081533,1.0,0.0
